distanceFromStartLine,trackPosition,speedLimit
1.0071,-0.0188,200
2.1427,-0.0159,200
3.2802,-0.0127,200
4.4198,-0.0094,200
5.5612,-0.0059,200
6.7046,-0.0024,200
7.85,0.0012,200
8.9966,0.0048,200
10.1426,0.0084,200
11.2879,0.012,200
12.4326,0.0156,200
13.5765,0.0192,200
14.7198,0.0228,200
15.8625,0.0264,200
17.0052,0.03,200
18.1491,0.0336,200
19.2945,0.0371,200
20.4412,0.0399,200
21.5892,0.0419,200
22.7384,0.0431,200
23.8889,0.0439,200
25.0409,0.0441,200
26.1941,0.0437,200
27.3487,0.0429,200
28.5047,0.0417,200
29.662,0.0402,200
30.8207,0.0385,200
31.9807,0.0366,200
33.1421,0.0347,200
34.3048,0.0326,200
35.4689,0.0306,200
36.6344,0.0285,200
37.8013,0.0264,200
38.9695,0.0243,200
40.1391,0.0222,200
41.3101,0.02,200
42.4824,0.0179,200
43.656,0.0157,210
44.8311,0.0136,210
46.0075,0.0115,210
47.1853,0.0093,210
48.3644,0.0072,210
49.5449,0.0051,210
50.7268,0.0029,210
51.91,0.0008,210
53.0946,-0.0013,210
54.2805,-0.0035,210
55.4678,-0.0056,210
56.6565,-0.0078,210
57.8465,-0.0099,210
59.0379,-0.012,210
60.2306,-0.0142,210
61.4247,-0.0163,210
62.6202,-0.0184,210
63.817,-0.0206,210
65.0151,-0.0227,210
66.2146,-0.0248,210
67.4154,-0.027,210
68.6176,-0.0291,210
69.8212,-0.0313,210
71.0261,-0.0334,210
72.2324,-0.0355,210
73.44,-0.0377,210
74.6489,-0.0399,210
75.8592,-0.0421,210
77.0709,-0.0443,210
78.2838,-0.0465,210
79.4982,-0.0487,210
80.7138,-0.0509,210
81.9308,-0.0531,210
83.1492,-0.0553,210
84.3689,-0.0575,210
85.59,-0.0597,210
86.8123,-0.0619,210
88.0361,-0.0641,210
89.2611,-0.0663,210
90.4875,-0.0685,210
91.7152,-0.0707,210
92.9443,-0.0729,210
94.1747,-0.0751,210
95.4064,-0.0773,210
96.6394,-0.0795,210
97.8738,-0.0817,210
99.1095,-0.0839,210
100.347,-0.0861,210
101.585,-0.0883,210
102.824,-0.0905,210
104.065,-0.0927,210
105.308,-0.095,210
106.551,-0.0972,210
107.796,-0.0995,210
109.043,-0.1017,210
110.29,-0.104,210
111.539,-0.1063,210
112.789,-0.1085,210
114.041,-0.1108,210
115.294,-0.113,210
116.548,-0.1151,210
117.803,-0.1165,210
119.06,-0.1175,210
120.318,-0.1181,210
121.576,-0.1187,210
122.835,-0.1193,210
124.096,-0.1201,210
125.358,-0.121,210
126.621,-0.1221,210
127.886,-0.1235,220
129.152,-0.1252,210
130.419,-0.1273,210
131.687,-0.1297,210
132.957,-0.1325,210
134.228,-0.1357,210
135.5,-0.1392,210
136.774,-0.1432,210
138.049,-0.1475,210
139.325,-0.1523,210
140.602,-0.1574,210
141.881,-0.163,210
143.161,-0.1689,210
144.442,-0.1753,210
145.724,-0.1821,210
147.007,-0.1892,210
148.291,-0.1967,210
149.574,-0.2044,210
150.857,-0.2119,210
152.14,-0.2188,210
153.422,-0.2251,210
154.705,-0.2312,220
155.988,-0.237,220
157.271,-0.2424,220
158.554,-0.2475,220
159.838,-0.2525,220
161.123,-0.2575,220
162.408,-0.2626,220
163.696,-0.2678,220
164.984,-0.2733,220
166.274,-0.2791,220
167.564,-0.2852,220
168.857,-0.2915,220
170.15,-0.298,220
171.445,-0.3047,220
172.74,-0.3117,220
174.038,-0.319,220
175.336,-0.3266,220
176.635,-0.3345,220
177.936,-0.3427,220
179.238,-0.3514,220
180.541,-0.3603,220
181.845,-0.3697,220
183.15,-0.3795,220
184.457,-0.3896,220
185.766,-0.4002,220
187.082,-0.4106,220
188.4,-0.4206,210
189.719,-0.4302,210
191.039,-0.4395,210
192.359,-0.4484,210
193.679,-0.4569,210
194.999,-0.465,200
196.32,-0.4728,200
197.639,-0.4801,200
198.955,-0.487,200
200.265,-0.4936,190
201.567,-0.4996,190
202.861,-0.5053,190
204.144,-0.5105,180
205.413,-0.5153,180
206.67,-0.5196,180
207.911,-0.5235,180
209.135,-0.527,170
210.343,-0.5301,170
211.533,-0.5327,170
212.706,-0.535,170
213.864,-0.5369,160
215.005,-0.5384,160
216.133,-0.5396,160
217.246,-0.5405,150
218.346,-0.541,150
219.433,-0.5412,150
220.507,-0.5411,150
221.567,-0.5407,150
222.614,-0.54,140
223.647,-0.539,140
224.667,-0.5377,140
225.673,-0.5362,140
226.667,-0.5345,140
227.648,-0.5325,130
228.617,-0.5303,130
229.575,-0.5278,130
230.521,-0.5251,130
231.455,-0.5222,120
232.378,-0.5191,120
233.289,-0.5159,120
234.189,-0.5124,120
235.076,-0.5088,120
235.952,-0.5049,120
236.816,-0.5008,110
237.669,-0.4964,110
238.51,-0.4916,110
239.341,-0.4863,110
240.161,-0.4805,110
240.971,-0.4745,100
241.77,-0.4682,100
242.559,-0.4616,100
243.338,-0.4548,100
244.106,-0.4478,100
244.863,-0.4405,90
245.61,-0.433,90
246.347,-0.4254,90
247.072,-0.4177,90
247.787,-0.4098,90
248.491,-0.4018,90
249.185,-0.3934,80
249.868,-0.3848,80
250.542,-0.3758,80
251.205,-0.3664,80
251.858,-0.3565,80
252.501,-0.3461,80
253.135,-0.3352,70
253.758,-0.3238,70
254.372,-0.3118,70
254.976,-0.299,70
255.571,-0.2857,70
256.156,-0.2716,60
256.732,-0.257,60
257.299,-0.2421,60
257.857,-0.2267,60
258.406,-0.211,60
258.945,-0.1947,60
259.473,-0.1779,60
259.984,-0.1609,60
260.483,-0.1447,60
260.972,-0.1293,60
261.451,-0.1147,60
261.92,-0.1005,60
262.379,-0.0866,60
262.827,-0.0726,60
263.267,-0.058,60
263.697,-0.0433,60
264.117,-0.0287,60
264.529,-0.0145,60
264.932,-0.0004,60
265.33,0.0145,60
265.725,0.0309,60
266.118,0.0484,60
266.509,0.0671,60
266.898,0.0865,60
267.289,0.1058,60
267.68,0.125,60
268.072,0.1441,60
268.467,0.163,60
268.864,0.1816,60
269.264,0.1998,60
269.667,0.2175,60
270.073,0.2347,60
270.482,0.2514,60
270.893,0.2676,60
271.307,0.2832,60
271.724,0.2982,60
272.144,0.3127,60
272.566,0.3265,60
272.991,0.3398,60
273.418,0.3524,60
273.848,0.3644,60
274.28,0.3757,60
274.715,0.3864,60
275.151,0.3965,60
275.59,0.406,60
276.031,0.4153,60
276.474,0.4244,60
276.918,0.4336,60
277.363,0.4429,60
277.81,0.4525,60
278.258,0.4625,60
278.706,0.4728,60
279.158,0.4822,60
279.61,0.4907,60
280.059,0.4985,60
280.505,0.5055,60
280.952,0.5119,60
281.399,0.518,60
281.847,0.5241,60
282.296,0.5302,60
282.745,0.5365,60
283.196,0.5431,60
283.648,0.5501,60
284.102,0.5572,60
284.557,0.5635,60
285.014,0.5691,60
285.473,0.5739,60
285.931,0.578,60
286.386,0.5814,60
286.838,0.584,60
287.29,0.5859,60
287.742,0.5871,60
288.194,0.588,60
288.647,0.5888,60
289.101,0.5895,60
289.556,0.5902,60
290.011,0.5912,60
290.468,0.5925,60
290.925,0.5941,60
291.383,0.5962,60
291.841,0.5989,60
292.3,0.6021,60
292.76,0.6059,60
293.219,0.6105,60
293.679,0.6157,60
294.139,0.6216,60
294.6,0.6277,60
295.063,0.6332,60
295.527,0.6382,60
295.986,0.6428,60
296.443,0.6468,60
296.899,0.6503,60
297.356,0.6534,60
297.813,0.6561,60
298.271,0.6587,60
298.73,0.6612,60
299.191,0.6636,60
299.652,0.6663,60
300.115,0.6692,60
300.578,0.6724,60
301.042,0.676,60
301.507,0.6799,60
301.973,0.6834,60
302.441,0.6861,60
302.911,0.6881,60
303.38,0.6893,60
303.846,0.6899,60
304.308,0.6899,60
304.769,0.6895,60
305.231,0.6889,60
305.692,0.6881,60
306.154,0.6872,60
306.617,0.6863,60
307.082,0.6855,60
307.547,0.685,60
308.013,0.6849,60
308.479,0.6852,60
308.946,0.6858,60
309.413,0.6869,60
309.882,0.688,60
310.352,0.6891,60
310.823,0.6896,60
311.295,0.6896,60
311.762,0.6893,60
312.224,0.6886,60
312.681,0.6878,60
313.138,0.687,60
313.594,0.686,60
314.05,0.6851,60
314.508,0.6843,60
314.966,0.6837,60
315.426,0.6835,60
315.886,0.6837,60
316.346,0.6843,60
316.807,0.685,60
317.27,0.6855,60
317.735,0.6857,60
318.201,0.6854,60
318.669,0.6849,60
319.139,0.6842,60
319.61,0.6834,60
320.082,0.6827,60
320.553,0.6818,60
321.021,0.681,60
321.487,0.6799,60
321.952,0.6785,60
322.416,0.6774,60
322.88,0.6766,60
323.346,0.6764,60
323.812,0.6766,60
324.277,0.6771,60
324.743,0.6777,60
325.21,0.6782,60
325.677,0.6785,60
326.144,0.6788,60
326.612,0.679,60
327.08,0.6792,60
327.548,0.6796,60
328.018,0.68,60
328.488,0.6801,60
328.958,0.68,60
329.431,0.6796,60
329.905,0.6794,60
330.38,0.6797,60
330.852,0.6804,60
331.32,0.6814,60
331.788,0.683,60
332.255,0.685,60
332.723,0.6873,60
333.191,0.69,60
333.662,0.6927,60
334.135,0.6947,60
334.61,0.6965,60
335.087,0.698,60
335.566,0.6995,60
336.045,0.7009,60
336.521,0.7022,70
336.991,0.7033,70
337.458,0.7045,70
337.924,0.7061,70
338.39,0.708,70
338.857,0.7103,70
339.325,0.7128,70
339.796,0.7146,70
340.27,0.7154,70
340.747,0.7154,70
341.228,0.7145,70
341.711,0.7127,70
342.196,0.71,70
342.683,0.7063,70
343.171,0.7017,70
343.66,0.6965,70
344.151,0.6908,70
344.642,0.6847,70
345.135,0.6784,70
345.629,0.672,70
346.124,0.6656,70
346.62,0.6593,70
347.116,0.6531,70
347.614,0.6472,70
348.113,0.6416,70
348.612,0.6363,70
349.113,0.6314,70
349.614,0.6269,70
350.115,0.623,70
350.617,0.6195,70
351.12,0.6166,70
351.622,0.6142,70
352.125,0.6123,70
352.629,0.611,70
353.132,0.6103,70
353.635,0.6102,70
354.138,0.6108,70
354.643,0.6116,70
355.15,0.612,70
355.659,0.6123,70
356.169,0.6127,70
356.682,0.6132,70
357.196,0.6137,70
357.712,0.6141,70
358.23,0.6143,70
358.749,0.6144,70
359.271,0.6143,70
359.794,0.614,70
360.319,0.6136,70
360.845,0.6131,70
361.373,0.6128,70
361.902,0.6125,70
362.432,0.6125,70
362.964,0.6127,70
363.497,0.6132,70
364.031,0.614,70
364.565,0.6151,70
365.102,0.6162,70
365.64,0.6164,70
366.179,0.6159,70
366.714,0.6149,70
367.244,0.6132,70
367.769,0.6107,70
368.294,0.6075,70
368.82,0.6033,70
369.345,0.5981,70
369.872,0.5919,70
370.399,0.5845,70
370.927,0.576,70
371.456,0.5662,70
371.985,0.5552,70
372.512,0.5431,70
373.033,0.5298,70
373.548,0.5156,70
374.056,0.5004,70
374.562,0.484,70
375.066,0.4665,70
375.569,0.4481,70
376.07,0.4289,70
376.572,0.409,70
377.073,0.3888,70
377.574,0.3682,70
378.075,0.3474,70
378.576,0.3265,70
379.075,0.3057,70
379.569,0.2853,70
380.057,0.2652,70
380.539,0.2457,70
381.02,0.2269,70
381.499,0.2088,70
381.978,0.1915,70
382.456,0.1748,70
382.935,0.1584,70
383.414,0.1415,70
383.894,0.1245,70
384.374,0.1074,70
384.855,0.0902,70
385.336,0.0729,70
385.817,0.0555,70
386.3,0.038,80
386.782,0.0204,80
387.265,0.0026,80
387.748,-0.0151,80
388.231,-0.0328,80
388.714,-0.0503,80
389.199,-0.0676,80
389.683,-0.0846,80
390.167,-0.1024,80
390.655,-0.121,80
391.15,-0.1393,80
391.648,-0.1572,80
392.148,-0.1748,80
392.65,-0.192,80
393.155,-0.2086,80
393.663,-0.2241,80
394.173,-0.2386,80
394.686,-0.2523,80
395.201,-0.2658,80
395.719,-0.2792,80
396.238,-0.2922,80
396.76,-0.3049,80
397.283,-0.3175,80
397.809,-0.3299,80
398.336,-0.3421,80
398.866,-0.3541,90
399.397,-0.3659,90
399.931,-0.3776,90
400.467,-0.3891,90
401.007,-0.4005,90
401.55,-0.4117,90
402.097,-0.4228,90
402.649,-0.4337,90
403.206,-0.4445,90
403.766,-0.4551,90
404.327,-0.4655,90
404.891,-0.4757,90
405.457,-0.4856,90
406.024,-0.4953,90
406.593,-0.5048,90
407.164,-0.5141,90
407.737,-0.5232,90
408.311,-0.532,90
408.888,-0.5404,90
409.466,-0.5481,90
410.046,-0.555,90
410.628,-0.5611,90
411.211,-0.567,90
411.796,-0.5725,90
412.383,-0.5778,90
412.972,-0.5828,90
413.562,-0.5875,100
414.153,-0.5919,100
414.746,-0.596,100
415.342,-0.5998,100
415.941,-0.6033,100
416.542,-0.6065,100
417.148,-0.6095,100
417.758,-0.6121,100
418.373,-0.6144,100
418.991,-0.6164,100
419.614,-0.618,100
420.241,-0.6194,100
420.871,-0.6203,100
421.502,-0.6209,100
422.135,-0.6212,100
422.769,-0.621,100
423.405,-0.6205,100
424.042,-0.6196,100
424.68,-0.6183,100
425.319,-0.6167,100
425.959,-0.6147,100
426.601,-0.6122,100
427.244,-0.6095,100
427.888,-0.6063,100
428.533,-0.6027,100
429.179,-0.5987,100
429.827,-0.5943,100
430.475,-0.5894,100
431.125,-0.5842,110
431.775,-0.5787,110
432.427,-0.5733,110
433.08,-0.5681,110
433.736,-0.5634,110
434.395,-0.559,110
435.057,-0.5542,110
435.722,-0.5493,110
436.386,-0.5442,110
437.05,-0.5388,110
437.712,-0.5332,110
438.374,-0.5272,110
439.035,-0.5208,110
439.695,-0.514,110
440.355,-0.5069,110
441.018,-0.4992,110
441.683,-0.4912,110
442.35,-0.4831,110
443.019,-0.4752,110
443.69,-0.4672,110
444.363,-0.4588,110
445.039,-0.45,110
445.716,-0.4407,110
446.396,-0.431,110
447.077,-0.4208,110
447.761,-0.4102,110
448.446,-0.3995,110
449.131,-0.3889,110
449.817,-0.3786,110
450.502,-0.3689,110
451.189,-0.3598,120
451.875,-0.3514,120
452.562,-0.3439,120
453.249,-0.3372,120
453.936,-0.3314,120
454.626,-0.3258,120
455.317,-0.3204,120
456.011,-0.3152,120
456.707,-0.3102,120
457.406,-0.3054,120
458.107,-0.3006,120
458.81,-0.2957,120
459.516,-0.291,120
460.224,-0.2865,120
460.934,-0.2821,120
461.647,-0.278,120
462.362,-0.2742,120
463.079,-0.2708,120
463.797,-0.2679,120
464.517,-0.2654,120
465.24,-0.2634,120
465.965,-0.2619,120
466.691,-0.261,120
467.418,-0.2607,120
468.147,-0.2608,120
468.879,-0.2613,120
469.612,-0.2625,120
470.345,-0.2643,120
471.08,-0.2665,120
471.817,-0.2689,120
472.558,-0.2715,120
473.301,-0.2745,120
474.046,-0.2778,130
474.793,-0.2813,130
475.546,-0.2849,130
476.312,-0.2882,130
477.081,-0.2909,130
477.852,-0.2931,130
478.625,-0.2946,130
479.4,-0.2958,130
480.177,-0.2967,130
480.955,-0.2974,120
481.735,-0.298,120
482.516,-0.2984,120
483.296,-0.2987,120
484.075,-0.2988,120
484.853,-0.2987,120
485.63,-0.2984,120
486.406,-0.2978,120
487.18,-0.297,120
487.953,-0.2961,120
488.724,-0.2949,120
489.493,-0.2935,120
490.261,-0.2919,120
491.027,-0.2902,120
491.79,-0.2883,120
492.552,-0.2863,120
493.311,-0.2841,120
494.068,-0.2818,120
494.823,-0.2793,120
495.577,-0.2768,120
496.33,-0.2741,120
497.082,-0.2711,120
497.837,-0.2679,120
498.592,-0.2645,120
499.349,-0.2609,120
500.107,-0.2571,120
500.865,-0.2531,120
501.625,-0.249,120
502.385,-0.2447,120
503.145,-0.2402,120
503.906,-0.2355,120
504.666,-0.2306,120
505.425,-0.2253,120
506.184,-0.2197,120
506.942,-0.2137,120
507.699,-0.2073,120
508.456,-0.2004,110
509.212,-0.1928,110
509.966,-0.1845,110
510.715,-0.1752,110
511.457,-0.1648,110
512.193,-0.1529,110
512.926,-0.1398,110
513.657,-0.1255,110
514.385,-0.1102,110
515.112,-0.0938,110
515.836,-0.0767,100
516.559,-0.0588,100
517.279,-0.0404,100
517.993,-0.0216,100
518.699,-0.0023,100
519.397,0.0174,100
520.083,0.0375,100
520.758,0.0582,100
521.42,0.0795,100
522.069,0.1014,100
522.709,0.1237,100
523.35,0.1446,100
523.99,0.1637,100
524.63,0.181,90
525.271,0.1966,90
525.911,0.2105,90
526.549,0.2226,90
527.182,0.2331,90
527.81,0.2423,90
528.429,0.2503,90
529.04,0.2573,90
529.643,0.2633,90
530.242,0.2678,90
530.839,0.2705,90
531.434,0.2714,90
532.028,0.2704,90
532.621,0.2677,90
533.212,0.2632,90
533.802,0.2569,90
534.39,0.2488,90
534.976,0.2389,90
535.56,0.2273,90
536.142,0.214,90
536.722,0.199,90
537.3,0.1822,90
537.877,0.1638,90
538.453,0.1438,90
539.026,0.1221,90
539.598,0.0988,90
540.168,0.074,90
540.737,0.0477,90
541.304,0.0201,90
541.87,-0.0087,90
542.436,-0.0384,90
543.001,-0.0686,90
543.568,-0.0987,90
544.136,-0.1283,90
544.706,-0.1572,90
545.279,-0.1849,90
545.853,-0.2113,90
546.43,-0.2364,90
547.008,-0.2612,90
547.589,-0.2855,90
548.193,-0.3084,90
548.802,-0.3295,90
549.415,-0.3489,90
550.032,-0.3666,90
550.652,-0.3827,90
551.276,-0.3973,90
551.902,-0.4103,90
552.53,-0.4219,90
553.161,-0.4321,90
553.794,-0.4408,90
554.429,-0.4481,90
555.066,-0.454,90
555.703,-0.4589,90
556.341,-0.463,90
556.981,-0.4666,90
557.621,-0.4698,90
558.262,-0.4727,90
558.903,-0.4754,90
559.544,-0.4781,90
560.185,-0.4808,90
560.827,-0.4828,90
561.47,-0.4838,90
562.114,-0.4841,90
562.759,-0.4836,90
563.402,-0.4822,90
564.041,-0.48,90
564.677,-0.4767,90
565.311,-0.4724,90
565.946,-0.467,90
566.579,-0.4609,90
567.211,-0.4543,90
567.844,-0.4473,90
568.477,-0.4401,90
569.11,-0.4328,90
569.742,-0.4256,90
570.375,-0.4185,90
571.006,-0.4116,90
571.637,-0.4051,90
572.268,-0.399,90
572.899,-0.3934,90
573.529,-0.3881,90
574.158,-0.3834,90
574.787,-0.3793,90
575.414,-0.3759,90
576.04,-0.3731,90
576.666,-0.3709,90
577.29,-0.3694,90
577.913,-0.3685,90
578.534,-0.3684,90
579.154,-0.3691,90
579.772,-0.3705,90
580.389,-0.3726,90
581.005,-0.3755,90
581.619,-0.3792,90
582.232,-0.3835,90
582.845,-0.3886,90
583.458,-0.3944,90
584.071,-0.4008,90
584.685,-0.408,90
585.299,-0.4159,100
585.912,-0.4245,100
586.526,-0.4339,100
587.14,-0.4439,100
587.756,-0.4546,100
588.374,-0.4659,100
588.994,-0.4777,100
589.617,-0.4899,100
590.242,-0.5021,100
590.872,-0.514,100
591.505,-0.5249,100
592.142,-0.5344,100
592.782,-0.542,100
593.423,-0.5476,100
594.066,-0.5522,100
594.71,-0.5555,100
595.355,-0.5575,100
596.002,-0.5582,100
596.649,-0.5578,100
597.297,-0.5562,100
597.945,-0.5535,100
598.594,-0.5498,100
599.244,-0.5451,100
599.893,-0.5393,100
600.543,-0.5326,100
601.193,-0.5249,100
601.843,-0.5162,100
602.492,-0.5065,100
603.142,-0.4958,100
603.792,-0.4841,100
604.441,-0.4715,100
605.089,-0.4579,100
605.737,-0.4434,100
606.384,-0.4279,100
607.031,-0.4114,100
607.677,-0.3942,100
608.323,-0.3765,100
608.968,-0.3585,100
609.613,-0.3405,100
610.258,-0.3226,100
610.903,-0.305,100
611.548,-0.2877,100
612.192,-0.2698,100
612.836,-0.2514,100
613.479,-0.2326,100
614.122,-0.2133,100
614.765,-0.1934,100
615.406,-0.1728,100
616.047,-0.1515,100
616.688,-0.1294,100
617.327,-0.1066,100
617.965,-0.083,100
618.602,-0.0591,100
619.24,-0.035,100
619.876,-0.0109,100
620.513,0.0129,100
621.15,0.0364,100
621.786,0.0593,100
622.423,0.0816,100
623.06,0.1031,100
623.696,0.1238,100
624.333,0.1437,100
624.969,0.1626,100
625.605,0.1806,100
626.241,0.1977,100
626.879,0.2139,100
627.519,0.2289,100
628.159,0.2431,100
628.801,0.2565,100
629.443,0.269,100
630.086,0.2808,100
630.731,0.2918,100
631.376,0.302,100
632.022,0.3116,100
632.669,0.3208,100
633.316,0.3297,100
633.965,0.3384,100
634.614,0.3471,100
635.264,0.3558,100
635.915,0.3647,100
636.566,0.3738,100
637.218,0.3832,100
637.871,0.3929,100
638.525,0.4029,100
639.179,0.4133,100
639.834,0.424,100
640.489,0.435,100
641.145,0.4463,100
641.802,0.4577,100
642.46,0.4688,100
643.118,0.4794,110
643.778,0.4895,110
644.438,0.4988,110
645.099,0.5073,110
645.762,0.5151,110
646.427,0.5219,110
647.094,0.5283,110
647.762,0.5345,110
648.431,0.5403,110
649.101,0.5458,110
649.772,0.5509,110
650.444,0.5559,110
651.117,0.5607,110
651.79,0.5656,110
652.465,0.5706,110
653.141,0.5758,110
653.818,0.5812,110
654.496,0.5867,110
655.174,0.5921,110
655.854,0.5972,110
656.535,0.6019,110
657.216,0.6059,110
657.899,0.6092,110
658.582,0.6116,110
659.266,0.614,110
659.951,0.6163,110
660.638,0.6183,110
661.325,0.6202,110
662.014,0.6219,110
662.703,0.6236,110
663.394,0.6254,110
664.086,0.6274,110
664.779,0.6295,110
665.473,0.6319,110
666.168,0.6346,110
666.864,0.6375,110
667.562,0.6408,110
668.26,0.6445,120
668.959,0.6482,120
669.66,0.6519,120
670.362,0.6553,120
671.066,0.6582,120
671.772,0.6604,120
672.48,0.6618,120
673.191,0.6623,120
673.904,0.6619,120
674.62,0.6611,120
675.339,0.66,120
676.062,0.6585,120
676.787,0.6566,120
677.515,0.6543,120
678.246,0.6517,120
678.978,0.649,120
679.711,0.6463,120
680.445,0.6436,120
681.181,0.6411,120
681.917,0.6388,120
682.655,0.6367,120
683.394,0.6349,120
684.135,0.6333,120
684.876,0.6322,120
685.619,0.6313,120
686.362,0.6308,120
687.107,0.6306,120
687.853,0.6307,120
688.601,0.631,120
689.349,0.6312,120
690.098,0.631,120
690.848,0.6303,120
691.599,0.6286,120
692.351,0.6263,120
693.104,0.6238,130
693.857,0.6211,130
694.613,0.6182,130
695.37,0.6151,130
696.128,0.6119,130
696.89,0.6088,130
697.654,0.6057,130
698.421,0.6028,130
699.191,0.6001,130
699.965,0.5977,130
700.741,0.5955,130
701.521,0.5937,130
702.303,0.5921,130
703.089,0.5908,130
703.878,0.5898,130
704.669,0.5892,130
705.461,0.589,130
706.255,0.589,130
707.049,0.5888,130
707.844,0.5883,130
708.641,0.5874,130
709.438,0.5868,130
710.236,0.5862,130
711.035,0.5856,130
711.836,0.5852,130
712.637,0.5849,130
713.439,0.5848,130
714.243,0.585,130
715.047,0.5854,130
715.853,0.5862,130
716.663,0.5872,130
717.478,0.5882,130
718.294,0.5892,130
719.11,0.5902,140
719.928,0.5912,140
720.747,0.5922,140
721.568,0.5931,140
722.39,0.5941,140
723.215,0.5951,140
724.042,0.5961,140
724.873,0.597,140
725.706,0.598,140
726.543,0.599,140
727.382,0.6,140
728.225,0.6009,140
729.07,0.6019,140
729.919,0.6029,140
730.77,0.6039,140
731.625,0.6048,140
732.482,0.6058,140
733.342,0.6068,140
734.203,0.6078,140
735.064,0.6088,140
735.927,0.6097,140
736.791,0.6107,140
737.655,0.6117,140
738.521,0.6127,140
739.387,0.6136,140
740.254,0.6146,140
741.123,0.6156,140
741.992,0.6166,140
742.862,0.6175,140
743.733,0.6185,140
744.605,0.6195,140
745.478,0.6205,140
746.352,0.6214,140
747.227,0.6224,140
